Wavelength (nm),Transmittance(%),Std.Dev.
190,0.110505546109655,0.0245949736294864
191,0.0614103910999022,0.0131699104258341
192,0.0875705378209801,0.0150312901491458
193,0.0627479173221973,0.0132757871206868
194,0.0992898489508398,0.0350589985296537
195,0.0370341654077044,0.00897428497239109
196,0.0598614583690521,0.0122922966250825
197,0.0507318594733798,0.0143464629470211
198,0.0377085935386228,0.00684497075070491
199,0.0706930433396828,0.0125295175720975
200,0.060558227720002,0.0153198417386603
201,0.0563661078568158,0.0186927584320336
202,0.0396411241476254,0.0103917191312979
203,0.0381962528481918,0.00853740635223088
204,0.0365470947788228,0.00626609201192745
205,0.0434227899553593,0.00975777907003608
206,0.03408701398085,0.0085889285770164
207,0.0244314625846969,0.00646975407562976
208,0.0292269566919937,0.00599605163153308
209,0.028507360537425,0.00865331828195373
210,0.0167877600085718,0.00475468421861016
211,0.0175312370057604,0.00275581121123509
212,0.0293101558321825,0.00434363948583382
213,0.0341529476266298,0.00575080398918584
214,0.0366287242343026,0.00594876935069158
215,0.0398292896068795,0.00926727805613374
216,0.0364827073124278,0.0106781974349509
217,0.0421443315673744,0.0089725923691651
218,0.028421790128899,0.00998179554415851
219,0.0373012155278737,0.0108890554953656
220,0.0202821117205547,0.00852882370736144
221,0.0273073636426034,0.00624616170427209
222,0.039296439193094,0.00930245542526418
223,0.0463235170422351,0.00813912793435642
224,0.0704155616666922,0.0101709647344322
225,0.0422527025352285,0.00826288350507206
226,0.0502916225517388,0.00595868519989042
227,0.0472762001764198,0.00503006061266319
228,0.0322488627773039,0.00582475034421958
229,0.0325969105853017,0.00587173777936142
230,0.0366607910567568,0.00429360857817237
231,0.0481052333407951,0.00418959248637133
232,0.0439424487067893,0.00359044793086022
233,0.029840809506338,0.00162852901401523
234,0.0457664029093397,0.00300261082261608
235,0.0438443275910199,0.00484505769297209
236,0.0458788990365295,0.00284748650224928
237,0.0460131378881222,0.00294912081083815
238,0.0339040812256175,0.00225903364143067
239,0.0525365280646613,0.00610597033318534
240,0.0346831247074486,0.00614297282644671
241,0.0407784055428644,0.00534512246428669
242,0.0343940475871147,0.00590644811953173
243,0.0401349547396445,0.00738685723169488
244,0.0385639191592854,0.00624381943562368
245,0.0452988731339021,0.00418137570409611
246,0.0425076953948293,0.00458452568973764
247,0.0355679055741163,0.00581249971951618
248,0.0520833183724039,0.00821938910347979
249,0.0681786197416431,0.0101098836550417
250,0.0601751301084848,0.0112110201437048
251,0.0620365105878989,0.0095572871897085
252,0.0732429993948945,0.00734385636943878
253,0.0949053358382654,0.0132901922025778
254,0.0915808914813,0.0100976822572986
255,0.0910144313520988,0.00909528712559356
256,0.123277475388462,0.00947474125638159
257,0.103230098819253,0.00967452825915837
258,0.110168035909769,0.00915098945628173
259,0.114547147750995,0.0116816438547789
260,0.13272739401041,0.00964707110224229
261,0.104881532422954,0.00859254464650909
262,0.108479565879177,0.00932929280772999
263,0.151885616158021,0.0121706245759934
264,0.132354560630965,0.00992055804127353
265,0.126652824534901,0.0104397440271292
266,0.164967232920292,0.0101355310303652
267,0.13773105909836,0.0082075364139631
268,0.139172750592123,0.0089246321085635
269,0.170836123482334,0.00896641780822507
270,0.204113249489643,0.0067423222285195
271,0.393580133584335,0.00487980461510717
272,1.29755507635474,0.0056149667946746
273,2.99416303248987,0.00685146961991839
274,5.26853295676983,0.00667962063586797
275,8.28868512005345,0.00760350900799971
276,11.6724632090441,0.00782083511134291
277,15.0890805503316,0.00990179676655
278,18.0983081152131,0.00941315442931313
279,20.5249940121608,0.00773742140759023
280,22.4838673115492,0.0086316114920947
281,24.0685373771861,0.0151877134874569
282,25.5047726247807,0.0113517552961546
283,26.8255904398088,0.00867030526890355
284,28.0830868645345,0.0109352700491527
285,29.2908212363751,0.0134744275348053
286,30.5402661851319,0.0108172583436869
287,31.7426500234417,0.0128437439025131
288,32.8228811798183,0.0113978588147071
289,33.8406343693893,0.0165348680756621
290,34.8038977367387,0.0263630250144265
291,35.7420732810169,0.0171873110121912
292,36.6286438007797,0.0174764659258382
293,37.578607366948,0.0164766410932204
294,38.5438544773496,0.022195458216897
295,39.5460507077607,0.0199856134097337
296,40.5506124082322,0.0148479615005328
297,41.4334915188615,0.0113254662592777
298,42.2956830935715,0.0165879816272611
299,43.1048140480897,0.0195112420592876
300,43.8825186288824,0.0140646103539833
301,44.6275830485607,0.0174415191613388
302,45.2988233976633,0.0189619591835191
303,45.9861173580013,0.0208232906161232
304,46.6253917432763,0.0175414106824266
305,47.223076982093,0.0215811297717027
306,47.7848049701249,0.0198988286170501
307,48.3462605610523,0.0163375847003804
308,48.9384866806249,0.021582510356527
309,49.4140576157583,0.0140283467324938
310,49.8202946757693,0.0125892210473411
311,50.3312295145136,0.0186515823846874
312,50.7573214269849,0.021119609721259
313,51.0924651412409,0.0146142039078802
314,51.512387411507,0.0116521377726585
315,51.8535415083149,0.0156403196038459
316,52.1747234144046,0.0144303025711456
317,52.4907477935604,0.0130840063648635
318,52.7805147427951,0.010303514527246
319,53.1166520789136,0.0115996427810222
320,53.3810302576521,0.0118409882957271
321,53.6606269686617,0.0105235941466141
322,53.9122609877714,0.013261436686869
323,54.1367742168586,0.0137374367298381
324,54.3709374783939,0.0147208524874123
325,54.6211044538983,0.0108397888961445
326,54.8723622290186,0.00903934225901803
327,55.0813361861721,0.0101984022065807
328,55.3334959425354,0.0156900303472533
329,55.5552044920186,0.0153148145851576
330,55.7848446155681,0.0149564019729799
331,56.0519168857433,0.0126055829923534
332,56.2472234998501,0.0102382761468989
333,56.4491602905737,0.0107357612339508
334,56.640564745735,0.0156404947136108
335,56.8520278661988,0.0176275372094275
336,57.074932674229,0.0105204060586451
337,57.3044366853444,0.0110010959586448
338,57.5577359555979,0.0140343470050878
339,57.8076482965478,0.0143294129505049
340,58.0473000697796,0.0186812025295024
341,58.2768748068419,0.0177206527653265
342,58.5356935977386,0.0161054379478007
343,58.8172918139102,0.0143554168889727
344,59.091550151269,0.0148045977159681
345,59.3434307634154,0.0158714849966764
346,59.6480350884391,0.0251205756510406
347,59.9427500796326,0.022659356775408
348,60.208240170697,0.0201566242466208
349,60.4978845225247,0.0181278292716023
350,60.7633648093777,0.0131874375517604
351,61.0383196987937,0.0168751125464748
352,61.3491314060933,0.0170069909267259
353,61.6196326296962,0.0244764350650629
354,61.8676151175676,0.020727741433347
355,62.2324412901958,0.0254688897518071
356,62.5056018870423,0.0196224808684038
357,62.7360685722333,0.0306596532666868
358,62.925502809737,0.0299921942743734
359,63.259258344916,0.028263052189963
360,63.6745036893705,0.0333367807938466
361,63.9544153316574,0.0242275817875741
362,64.3097251221212,0.0236017086748735
363,64.6481961923319,0.0231145393085097
364,65.2270673233298,0.0277244087037442
365,66.2227561317901,0.0314146786650721
366,67.2081811110342,0.0363660931117012
367,67.6690339509136,0.0345918143577274
368,67.4200014187822,0.028036370197333
369,67.3983897764146,0.0333728804614576
370,67.7173447358931,0.0369995206935445
371,67.9295018412186,0.0378368291032815
372,68.0257083565819,0.028818101324736
373,68.2490968341482,0.014760794838758
374,68.5376790990255,0.0203502101695227
375,68.8780562926353,0.0307473962052803
376,69.1903379917263,0.036797426726849
377,69.3351325378768,0.0314389141737248
378,69.4908347119458,0.0269831939775132
379,69.7842077785991,0.0245447683402032
380,70.0152159090983,0.0210858474912005
381,70.2021144468045,0.0253204164078652
382,70.1926343721131,0.024482103444561
383,70.46420855287,0.0212058298228249
384,70.619654829713,0.0307658494702091
385,70.7117517532116,0.0229127111892501
386,70.8445605859738,0.0226693043324149
387,70.7996932231611,0.025944897178342
388,71.0738502128623,0.023737348717632
389,71.5142401467858,0.0271673420989304
390,71.5691464430712,0.0266894264596927
391,71.418353485005,0.0159024635466176
392,71.4322341758126,0.019920810234104
393,71.7519993814912,0.0184609233002839
394,72.1519767205835,0.0193614349666348
395,72.1764598070518,0.0171539429642448
396,72.2569400754029,0.0251365833715135
397,72.1160198713691,0.022514531442472
398,72.1414412498447,0.0175417287474171
399,72.6118018090375,0.0207535554746503
400,72.9051419072396,0.0280456366818662
401,72.9120262564957,0.0209656830955148
402,72.8517702414513,0.0172437181569371
403,72.8098684828385,0.0231319042008699
404,72.8571296475467,0.0255129696756247
405,72.87217008645,0.0230574922587632
406,73.4081220446857,0.0237989749257658
407,73.6479727940308,0.0312082737148417
408,73.4144896453616,0.0162716416172219
409,73.5010308894199,0.0190929212732555
410,73.6225055452394,0.0256773715012447
411,73.6522586254343,0.0239492243965735
412,73.6086841554643,0.0191853400463455
413,73.8234912738375,0.0226693603297871
414,74.4049892731292,0.0241426248968554
415,74.3581935833295,0.0152371525753164
416,74.3543564997176,0.017954043988501
417,74.3887340299801,0.0213584728890037
418,74.5067673064245,0.0257851586264622
419,74.5539839257141,0.0179679713780647
420,74.4091557614969,0.0165716370367646
421,74.3494583828339,0.017381033997016
422,74.858868674196,0.0165689581950324
