Wavelength (nm),Transmittance(%),Std.Dev.
190,0.0687862329085483,0.0353557785733456
191,0.0276633355603539,0.0085661416221034
192,0.0881768259387378,0.0132062100284031
193,0.098124707172772,0.0145751017715349
194,0.0751957069286011,0.0124074195892913
195,0.0637805084172112,0.013409009233986
196,0.0626144040698328,0.00947813642138636
197,0.0691852483166187,0.00731556981092622
198,0.104021869053058,0.0160753653309289
199,0.10226050372899,0.0171532528260887
200,0.0916599594538945,0.0118675678126287
201,0.0779389637436658,0.00657571175571032
202,0.0803692388321514,0.00703807095646268
203,0.0975102765923712,0.0097319357591842
204,0.0693646761345078,0.00793442124077476
205,0.0664767082306494,0.00727366275081094
206,0.0588612218794444,0.00582575009495148
207,0.0532395573591893,0.00475416905207674
208,0.0536063328684642,0.00738142525400186
209,0.0617148301124691,0.00567539963028279
210,0.0602500337417152,0.00364474639347933
211,0.047619509725194,0.00265909114978758
212,0.0600854082411209,0.00421769984851687
213,0.0696745739502674,0.00447920283117345
214,0.0841548878777271,0.00629303822770193
215,0.0857470983957099,0.00811990150584495
216,0.0912133092322589,0.00839705787017458
217,0.115028842926484,0.00756278456835255
218,0.116883657180879,0.0080891302951309
219,0.153653687702106,0.00686956114498837
220,0.234514982217155,0.00777846568692375
221,0.320780135222174,0.00662199246512436
222,0.481519995742787,0.00687763643715543
223,0.720762031408789,0.00558949258363466
224,1.01295121919071,0.00862784103796324
225,1.39595287682157,0.00915473103499182
226,1.8637663409095,0.00781210044332487
227,2.36250660636183,0.00557129541556124
228,2.89709157428748,0.0079536685746598
229,3.41725274574674,0.00712221007061566
230,3.9186915367272,0.00578192248167048
231,4.42021546273158,0.00492887535559114
232,4.91110563343038,0.00469198475334676
233,5.41171031808313,0.00412532583070675
234,5.91996092332415,0.00460425705619057
235,6.42337237584391,0.00483641367238855
236,6.9134523966403,0.00333008646741231
237,7.41962288570562,0.00394509580774211
238,7.90825793545313,0.00365830966254874
239,8.41497137183602,0.0050054765922339
240,8.93513879589579,0.0062275618828095
241,9.4702983015336,0.00617006659800946
242,10.0544196101482,0.00793161967964897
243,10.6704561002821,0.00469845416412559
244,11.303988737911,0.00378257850949025
245,11.9566637459556,0.0072572564590293
246,12.5995394733107,0.00502834113647258
247,13.2072795311649,0.00391313189898452
248,13.7969744248714,0.00613332826158252
249,14.4165439495938,0.00887450219616319
250,14.9944321442275,0.0102021208277345
251,15.6268004943052,0.0110920224081399
252,16.3354442919527,0.0110581292306917
253,17.0984181052222,0.0104958961985112
254,17.9496496765231,0.0104219171278523
255,18.8067575877346,0.0111526186904472
256,19.6299484423246,0.0120053888502142
257,20.4406368654376,0.00861739660327662
258,21.2467001407407,0.00779992453565443
259,22.0234571762425,0.00988685668406153
260,22.8237746274799,0.0123561619969589
261,23.6690481838113,0.0101714909398315
262,24.4613636087727,0.00942956411759417
263,25.2611677324139,0.010439831193026
264,25.9814743295209,0.0120594202259483
265,26.8070117965653,0.00790120568354015
266,27.5884457221996,0.00988543928653391
267,28.3817811000983,0.00820549561409647
268,29.1830585165597,0.0111326614953608
269,30.0951857624689,0.00851362499949276
