Wavelength (nm),Transmittance(%),Std.Dev.
190,0.0716347907681766,0.0200707003263297
191,0.0486281492634898,0.00882711944768165
192,0.0865518516436513,0.0160276920013674
193,0.0601022992580781,0.010757787732834
194,0.0485159961083784,0.0101615616480477
195,0.0510708722111523,0.00946027877560961
196,0.059308647335658,0.00955521655920789
197,0.0513585523707355,0.00687455711492333
198,0.0532054306953987,0.00597654896952431
199,0.0831070142833667,0.00841927484447211
200,0.0635584159975097,0.0111272490315436
201,0.0556142201937519,0.00903907418794713
202,0.0610731117034118,0.0135271904907273
203,0.0309811780099779,0.00688361265688687
204,0.0359996876594866,0.00485115155213557
205,0.0485724402927967,0.0121466185566576
206,0.0217148913095841,0.00826803651467356
207,0.0125162324832352,0.00484456937183025
208,0.021477562761284,0.00712786678760362
209,0.0282942265376769,0.00604534874596935
210,0.0282703780011502,0.0054515992568298
211,0.0248978060428665,0.00736312552287504
212,0.0219431302079331,0.0100756233622693
213,0.022174985385733,0.00715148480459569
214,0.0263627641250699,0.0100119691447436
215,0.0199107675073123,0.00902613769913456
216,0.0287929849181883,0.00729747581530716
217,0.0448020664766388,0.0106701738630572
218,0.0262979198955802,0.00667402382233823
219,0.0298173924681755,0.00698474074716217
220,0.0446768053883008,0.00602085891533963
221,0.0468833976214098,0.00643910648942263
222,0.044951116009992,0.00935748824458751
223,0.0331169283790075,0.00936913247021677
224,0.036670090451161,0.00716831020914104
225,0.0497885784288825,0.00729860606204543
226,0.049142610768969,0.0109679418224809
227,0.0385957307909451,0.0113186437563627
228,0.0204593179423425,0.00585803507683198
229,0.0326077209704799,0.00820505881068221
230,0.0288941991186484,0.00380793708276519
231,0.0309319619226548,0.00733870703610728
232,0.0176634509923824,0.0033992278903204
233,0.0199116419740789,0.00197436198568546
234,0.0330188627985419,0.00216472769132816
235,0.0258176797643004,0.0033044339008883
236,0.0219494433871539,0.0050571154674601
237,0.0213459585802021,0.00720639368536117
238,0.0150915161221455,0.00293430351430219
239,0.0376826845055249,0.0088649311907431
240,0.0199997000957158,0.00354264475863995
241,0.0253026110980647,0.00417322893907227
242,0.0253896879878767,0.00502958251638621
243,0.0282020492289741,0.00529520616722111
244,0.0377008520739354,0.00449756209662442
245,0.0405164332529932,0.00427385673302242
246,0.0518428392056107,0.00882317653452403
247,0.0397539688573896,0.0127287971795292
248,0.0303893108757709,0.00595643255443927
249,0.0662516282198646,0.00835835913083018
250,0.0576068601866657,0.0076678213496903
251,0.0605717932804904,0.00486341417173302
252,0.0707528344720717,0.010635965000658
253,0.0585470704473071,0.0156707759395661
254,0.0482382530075367,0.00751830781256245
255,0.0688935612080224,0.00743008336032662
256,0.0972602861693005,0.0136289666828143
257,0.0787234893882288,0.0196283744486099
258,0.0602423605966797,0.0114007651248015
259,0.0891728209890131,0.00811283377156441
260,0.0745531653586784,0.00642897918997777
261,0.077619148133799,0.00688310998420984
262,0.0750058897903004,0.00430907982838884
263,0.0729662432006231,0.00773757924487988
264,0.0712852516686799,0.0128801940146119
265,0.0749158493385305,0.0119271942384696
